crop_type,disease_type,disease_stage,crop_stage,region,is_organic_farming,temperature,humidity,rainfall,soil_ph,nitrogen,organic_pesticide,organic_application_method,organic_dosage,organic_frequency,non_organic_pesticide,non_organic_application_method,non_organic_dosage,non_organic_frequency
apple,powdery mildew,early,fruiting,Tamil Nadu,1,32.2,71.0,4,5.77,19.3,Trichoderma viride,Soil drench,5.0 ml/L water,Every 6 days,Chlorpyrifos,Foliar spray,1.5 g/L water,Once every 17 days
millet,root rot,advanced,seedling,Bihar,1,28.2,61.6,2,6.64,45.2,Beauveria bassiana,Seed treatment,2.2 ml/L water,Every 8 days,Fungicide M-45,Broadcast spraying,1.4 g/L water,Once every 16 days
grapes,stem rot,early,flowering,Karnataka,1,26.8,59.8,6,6.68,26.7,Fish amino acid,Seed treatment,3.4 ml/L water,Every 7 days,Bavistin,Soil application,2.6 g/L water,Once every 18 days
grapes,root rot,mid,seedling,Maharashtra,1,33.2,58.1,1,6.71,48.0,Cow urine solution,Foliar spray,3.5 ml/L water,Every 7 days,Chlorpyrifos,Broadcast spraying,2.8 g/L water,Once every 14 days
banana,downy mildew,early,seedling,Tamil Nadu,0,35.0,56.1,2,6.25,44.2,Cow urine solution,Drip irrigation,3.8 ml/L water,Every 10 days,Fungicide M-45,Foliar spray,1.2 g/L water,Once every 15 days
potato,downy mildew,advanced,seedling,Karnataka,0,32.5,68.6,2,6.56,29.2,Panchagavya,Seed treatment,2.7 ml/L water,Every 8 days,Fungicide M-45,Broadcast spraying,2.2 g/L water,Once every 17 days
coconut,leaf blight,mid,seedling,Karnataka,0,31.9,66.1,2,6.13,42.3,Panchagavya,Soil drench,4.8 ml/L water,Every 7 days,Chlorpyrifos,Broadcast spraying,1.5 g/L water,Once every 14 days
mothbeans,downy mildew,mid,flowering,Punjab,1,30.9,75.8,3,7.0,51.9,Trichoderma viride,Seed treatment,3.9 ml/L water,Every 9 days,Chlorpyrifos,Soil application,1.3 g/L water,Once every 16 days
grapes,stem rot,mid,fruiting,Maharashtra,0,32.5,56.1,1,6.59,58.0,Fish amino acid,Seed treatment,4.1 ml/L water,Every 7 days,Thiamethoxam,Soil application,2.0 g/L water,Once every 14 days
watermelon,powdery mildew,advanced,fruiting,Tamil Nadu,1,31.5,56.8,1,6.24,43.3,Cow urine solution,Foliar spray,2.9 ml/L water,Every 10 days,Tilt (propiconazole),Foliar spray,1.9 g/L water,Once every 12 days
mungbean,downy mildew,early,vegetative,Punjab,0,32.2,57.0,1,6.46,24.4,Fish amino acid,Foliar spray,3.4 ml/L water,Every 9 days,Confidor,Foliar spray,1.8 g/L water,Once every 14 days
apple,leaf blight,advanced,seedling,Bihar,0,29.1,65.8,2,6.67,38.4,Trichoderma viride,Drip irrigation,3.9 ml/L water,Every 9 days,Carbendazim,Foliar spray,2.4 g/L water,Once every 11 days
potato,powdery mildew,advanced,fruiting,Tamil Nadu,0,31.8,49.0,1,6.42,25.3,Cow dung decoction,Foliar spray,4.0 ml/L water,Every 6 days,Bavistin,Foliar spray,3.0 g/L water,Once every 17 days
pigeonpeas,downy mildew,advanced,fruiting,Karnataka,0,32.7,50.3,1,6.31,39.8,Trichoderma viride,Seed treatment,4.4 ml/L water,Every 9 days,Thiamethoxam,Broadcast spraying,1.2 g/L water,Once every 12 days
millet,stem rot,early,flowering,Karnataka,1,36.1,64.5,2,6.68,35.8,Beauveria bassiana,Soil drench,4.1 ml/L water,Every 5 days,Confidor,Soil application,1.3 g/L water,Once every 19 days
pigeonpeas,downy mildew,advanced,flowering,Maharashtra,0,33.1,59.5,1,6.5,32.3,Trichoderma viride,Foliar spray,2.4 ml/L water,Every 6 days,Chlorpyrifos,Broadcast spraying,1.2 g/L water,Once every 14 days
coconut,stem rot,early,fruiting,Tamil Nadu,1,27.6,64.3,4,5.68,30.2,Cow urine solution,Drip irrigation,3.9 ml/L water,Every 10 days,Bavistin,Broadcast spraying,1.7 g/L water,Once every 17 days
chickpea,powdery mildew,mid,flowering,Maharashtra,0,29.9,64.2,1,6.92,47.9,Panchagavya,Foliar spray,3.1 ml/L water,Every 7 days,Ridomil Gold,Broadcast spraying,1.3 g/L water,Once every 11 days
maize,root rot,mid,vegetative,Punjab,1,33.4,58.7,2,6.73,32.8,Beauveria bassiana,Drip irrigation,3.5 ml/L water,Every 5 days,Ridomil Gold,Foliar spray,2.4 g/L water,Once every 16 days
jute,powdery mildew,mid,flowering,Karnataka,0,35.0,61.1,1,6.95,42.4,Cow dung decoction,Seed treatment,3.9 ml/L water,Every 9 days,Thiamethoxam,Soil application,1.7 g/L water,Once every 14 days
maize,root rot,advanced,flowering,Maharashtra,0,36.3,76.8,3,6.53,37.5,Garlic-chilli extract,Seed treatment,3.4 ml/L water,Every 9 days,Ridomil Gold,Broadcast spraying,1.9 g/L water,Once every 17 days
millet,root rot,mid,flowering,Tamil Nadu,0,30.1,66.5,2,6.47,35.4,Neem oil spray,Seed treatment,3.9 ml/L water,Every 5 days,Ridomil Gold,Soil application,2.3 g/L water,Once every 13 days
barley,leaf blight,advanced,fruiting,Maharashtra,1,36.8,57.6,4,7.0,46.3,Beauveria bassiana,Soil drench,4.6 ml/L water,Every 8 days,Fungicide M-45,Soil application,1.8 g/L water,Once every 12 days
lentil,downy mildew,early,vegetative,Tamil Nadu,1,25.1,69.7,2,6.51,48.4,Neem oil spray,Drip irrigation,2.5 ml/L water,Every 8 days,Tilt (propiconazole),Soil application,1.5 g/L water,Once every 17 days
barley,leaf blight,mid,seedling,Punjab,1,27.9,70.3,2,6.15,27.3,Trichoderma viride,Drip irrigation,2.3 ml/L water,Every 7 days,Confidor,Foliar spray,2.8 g/L water,Once every 19 days
mango,root rot,early,flowering,Bihar,0,34.3,48.6,2,6.61,27.7,Garlic-chilli extract,Seed treatment,4.5 ml/L water,Every 6 days,Confidor,Broadcast spraying,2.9 g/L water,Once every 16 days
watermelon,powdery mildew,advanced,seedling,Tamil Nadu,1,29.4,71.3,0,6.27,46.9,Cow urine solution,Soil drench,2.5 ml/L water,Every 7 days,Fungicide M-45,Foliar spray,1.6 g/L water,Once every 12 days
kidneybeans,powdery mildew,advanced,fruiting,Tamil Nadu,1,31.5,67.5,2,6.46,41.6,Cow dung decoction,Seed treatment,2.3 ml/L water,Every 6 days,Bavistin,Broadcast spraying,2.7 g/L water,Once every 20 days
banana,powdery mildew,mid,seedling,Maharashtra,0,31.2,62.0,4,6.38,41.4,Neem oil spray,Foliar spray,3.5 ml/L water,Every 7 days,Carbendazim,Soil application,2.4 g/L water,Once every 12 days
rice,leaf blight,advanced,seedling,Punjab,1,31.7,53.4,5,6.34,35.7,Fish amino acid,Drip irrigation,2.1 ml/L water,Every 6 days,Chlorpyrifos,Broadcast spraying,1.2 g/L water,Once every 19 days
mothbeans,stem rot,mid,seedling,Karnataka,0,28.3,63.7,4,6.49,37.5,Cow urine solution,Seed treatment,3.1 ml/L water,Every 9 days,Fungicide M-45,Soil application,1.6 g/L water,Once every 16 days
maize,stem rot,mid,seedling,Tamil Nadu,1,32.2,55.6,2,6.57,51.2,Panchagavya,Seed treatment,5.0 ml/L water,Every 6 days,Fungicide M-45,Soil application,1.8 g/L water,Once every 19 days
banana,leaf blight,advanced,vegetative,Bihar,1,29.4,57.7,3,6.94,32.2,Trichoderma viride,Soil drench,4.1 ml/L water,Every 7 days,Ridomil Gold,Foliar spray,1.1 g/L water,Once every 19 days
blackgram,root rot,mid,seedling,Karnataka,1,32.9,57.6,3,6.53,40.2,Cow urine solution,Soil drench,4.6 ml/L water,Every 9 days,Carbendazim,Soil application,2.3 g/L water,Once every 12 days
apple,downy mildew,advanced,vegetative,Tamil Nadu,0,34.5,66.2,1,6.55,17.2,Fish amino acid,Foliar spray,4.7 ml/L water,Every 6 days,Bavistin,Soil application,2.9 g/L water,Once every 12 days
muskmelon,root rot,advanced,fruiting,Bihar,0,31.5,78.6,0,6.15,38.5,Cow urine solution,Seed treatment,4.3 ml/L water,Every 5 days,Carbendazim,Soil application,2.9 g/L water,Once every 15 days
watermelon,downy mildew,early,fruiting,Bihar,1,30.6,61.4,5,6.82,36.9,Garlic-chilli extract,Foliar spray,2.7 ml/L water,Every 5 days,Thiamethoxam,Soil application,3.0 g/L water,Once every 18 days
pomegranate,root rot,early,fruiting,Maharashtra,1,28.8,81.0,1,6.45,33.1,Garlic-chilli extract,Foliar spray,4.6 ml/L water,Every 7 days,Fungicide M-45,Broadcast spraying,2.0 g/L water,Once every 13 days
cotton,leaf blight,early,vegetative,Karnataka,1,30.3,77.2,2,6.82,34.1,Neem oil spray,Soil drench,4.9 ml/L water,Every 8 days,Fungicide M-45,Foliar spray,1.4 g/L water,Once every 19 days
chickpea,downy mildew,advanced,fruiting,Maharashtra,1,24.1,67.2,4,6.87,38.9,Trichoderma viride,Foliar spray,2.6 ml/L water,Every 6 days,Chlorpyrifos,Broadcast spraying,2.9 g/L water,Once every 10 days
orange,stem rot,mid,fruiting,Punjab,1,29.9,66.3,1,6.55,43.5,Trichoderma viride,Soil drench,4.3 ml/L water,Every 7 days,Fungicide M-45,Soil application,1.8 g/L water,Once every 15 days
kidneybeans,downy mildew,mid,seedling,Tamil Nadu,1,25.2,73.6,3,5.8,37.1,Cow dung decoction,Drip irrigation,4.1 ml/L water,Every 10 days,Bavistin,Soil application,1.9 g/L water,Once every 14 days
coffee,root rot,mid,fruiting,Bihar,1,27.3,64.3,2,6.1,34.3,Cow urine solution,Seed treatment,2.8 ml/L water,Every 5 days,Chlorpyrifos,Foliar spray,1.4 g/L water,Once every 16 days
coconut,leaf blight,early,flowering,Maharashtra,1,26.6,75.7,1,6.84,42.9,Fish amino acid,Drip irrigation,4.4 ml/L water,Every 8 days,Bavistin,Foliar spray,1.8 g/L water,Once every 12 days
banana,root rot,early,flowering,Bihar,1,30.9,53.0,1,6.51,37.3,Cow urine solution,Foliar spray,5.0 ml/L water,Every 5 days,Tilt (propiconazole),Broadcast spraying,1.8 g/L water,Once every 12 days
coffee,stem rot,advanced,fruiting,Maharashtra,1,28.2,65.3,3,6.56,54.3,Cow urine solution,Soil drench,3.6 ml/L water,Every 5 days,Bavistin,Foliar spray,1.5 g/L water,Once every 19 days
sugarcane,downy mildew,advanced,fruiting,Tamil Nadu,0,31.3,67.4,3,6.63,28.7,Garlic-chilli extract,Drip irrigation,4.8 ml/L water,Every 5 days,Carbendazim,Soil application,2.3 g/L water,Once every 20 days
orange,powdery mildew,advanced,seedling,Karnataka,0,32.1,50.2,3,6.93,33.1,Trichoderma viride,Foliar spray,2.3 ml/L water,Every 5 days,Ridomil Gold,Broadcast spraying,1.9 g/L water,Once every 14 days
papaya,root rot,early,vegetative,Punjab,0,27.0,76.1,1,6.56,39.6,Fish amino acid,Seed treatment,2.4 ml/L water,Every 8 days,Confidor,Foliar spray,2.2 g/L water,Once every 13 days
wheat,stem rot,early,fruiting,Bihar,0,30.5,70.4,0,6.42,29.4,Panchagavya,Foliar spray,4.4 ml/L water,Every 6 days,Carbendazim,Foliar spray,2.6 g/L water,Once every 10 days
coffee,leaf blight,advanced,flowering,Maharashtra,0,28.2,70.6,5,6.84,36.1,Panchagavya,Soil drench,4.7 ml/L water,Every 10 days,Thiamethoxam,Foliar spray,2.3 g/L water,Once every 12 days
barley,stem rot,early,fruiting,Tamil Nadu,0,30.1,59.3,3,6.12,48.2,Trichoderma viride,Soil drench,2.8 ml/L water,Every 10 days,Confidor,Broadcast spraying,1.7 g/L water,Once every 17 days
orange,root rot,early,flowering,Punjab,1,34.8,64.4,2,6.76,49.0,Beauveria bassiana,Soil drench,4.9 ml/L water,Every 10 days,Chlorpyrifos,Broadcast spraying,2.0 g/L water,Once every 13 days
millet,leaf blight,mid,fruiting,Karnataka,1,22.0,69.4,1,6.54,33.9,Cow dung decoction,Seed treatment,3.2 ml/L water,Every 10 days,Tilt (propiconazole),Soil application,1.0 g/L water,Once every 17 days
maize,leaf blight,mid,seedling,Karnataka,0,32.0,58.1,3,6.24,33.2,Trichoderma viride,Foliar spray,3.6 ml/L water,Every 5 days,Thiamethoxam,Foliar spray,1.7 g/L water,Once every 12 days
potato,powdery mildew,mid,flowering,Karnataka,0,30.3,80.0,1,6.6,45.3,Trichoderma viride,Foliar spray,2.0 ml/L water,Every 5 days,Tilt (propiconazole),Soil application,1.9 g/L water,Once every 10 days
pigeonpeas,stem rot,mid,seedling,Punjab,0,31.6,65.3,2,6.87,39.6,Beauveria bassiana,Soil drench,4.7 ml/L water,Every 8 days,Chlorpyrifos,Soil application,2.0 g/L water,Once every 13 days
mango,leaf blight,mid,fruiting,Maharashtra,1,29.5,53.4,6,6.25,26.8,Garlic-chilli extract,Seed treatment,2.2 ml/L water,Every 5 days,Confidor,Foliar spray,2.9 g/L water,Once every 19 days
coconut,root rot,advanced,fruiting,Punjab,0,26.5,75.9,1,6.48,44.6,Trichoderma viride,Drip irrigation,3.6 ml/L water,Every 9 days,Fungicide M-45,Broadcast spraying,1.9 g/L water,Once every 10 days
jute,leaf blight,early,fruiting,Tamil Nadu,0,30.1,71.1,2,6.94,29.6,Fish amino acid,Drip irrigation,4.5 ml/L water,Every 5 days,Fungicide M-45,Broadcast spraying,2.9 g/L water,Once every 19 days
orange,stem rot,mid,fruiting,Karnataka,1,30.9,70.1,4,6.02,53.4,Panchagavya,Foliar spray,3.9 ml/L water,Every 8 days,Confidor,Soil application,2.8 g/L water,Once every 10 days
barley,leaf blight,advanced,fruiting,Karnataka,0,24.2,51.2,0,6.3,42.8,Garlic-chilli extract,Seed treatment,2.7 ml/L water,Every 9 days,Carbendazim,Soil application,1.8 g/L water,Once every 17 days
chickpea,stem rot,mid,seedling,Maharashtra,0,32.5,52.5,0,6.49,47.1,Beauveria bassiana,Drip irrigation,3.0 ml/L water,Every 7 days,Ridomil Gold,Soil application,1.6 g/L water,Once every 10 days
wheat,stem rot,advanced,fruiting,Bihar,1,30.2,60.8,2,6.85,38.9,Trichoderma viride,Foliar spray,2.6 ml/L water,Every 9 days,Tilt (propiconazole),Soil application,1.9 g/L water,Once every 12 days
papaya,downy mildew,mid,vegetative,Maharashtra,0,30.0,51.1,2,5.93,60.9,Fish amino acid,Soil drench,2.8 ml/L water,Every 9 days,Confidor,Soil application,2.8 g/L water,Once every 19 days
mungbean,root rot,advanced,vegetative,Bihar,1,30.1,52.8,3,6.46,39.7,Neem oil spray,Drip irrigation,2.1 ml/L water,Every 8 days,Tilt (propiconazole),Broadcast spraying,1.2 g/L water,Once every 10 days
millet,stem rot,mid,flowering,Maharashtra,0,32.1,79.8,2,6.74,33.1,Trichoderma viride,Soil drench,3.6 ml/L water,Every 6 days,Fungicide M-45,Broadcast spraying,1.7 g/L water,Once every 11 days
muskmelon,stem rot,mid,fruiting,Maharashtra,1,31.4,76.8,2,6.06,45.0,Garlic-chilli extract,Soil drench,4.6 ml/L water,Every 8 days,Ridomil Gold,Foliar spray,2.9 g/L water,Once every 20 days
mothbeans,powdery mildew,early,fruiting,Bihar,1,28.1,77.2,4,6.71,36.9,Panchagavya,Foliar spray,4.2 ml/L water,Every 10 days,Carbendazim,Broadcast spraying,1.6 g/L water,Once every 19 days
orange,powdery mildew,advanced,fruiting,Punjab,1,31.2,39.7,1,6.72,35.7,Fish amino acid,Seed treatment,4.1 ml/L water,Every 6 days,Fungicide M-45,Soil application,1.5 g/L water,Once every 11 days
sugarcane,root rot,early,fruiting,Bihar,0,28.4,53.4,0,6.69,41.0,Panchagavya,Seed treatment,4.4 ml/L water,Every 9 days,Thiamethoxam,Broadcast spraying,2.7 g/L water,Once every 10 days
maize,downy mildew,advanced,fruiting,Punjab,0,34.6,60.2,1,6.33,49.9,Neem oil spray,Drip irrigation,3.3 ml/L water,Every 10 days,Chlorpyrifos,Foliar spray,2.5 g/L water,Once every 13 days
papaya,powdery mildew,advanced,seedling,Tamil Nadu,1,28.9,60.9,4,6.84,29.4,Panchagavya,Foliar spray,2.4 ml/L water,Every 6 days,Confidor,Foliar spray,2.9 g/L water,Once every 16 days
potato,root rot,advanced,fruiting,Punjab,0,30.6,62.2,1,6.64,18.7,Cow dung decoction,Seed treatment,2.8 ml/L water,Every 7 days,Tilt (propiconazole),Broadcast spraying,1.9 g/L water,Once every 18 days
watermelon,stem rot,early,flowering,Punjab,0,33.0,72.1,0,6.13,39.6,Panchagavya,Soil drench,4.9 ml/L water,Every 8 days,Thiamethoxam,Broadcast spraying,1.2 g/L water,Once every 10 days
coconut,downy mildew,early,seedling,Punjab,0,32.3,77.2,1,6.87,40.3,Garlic-chilli extract,Drip irrigation,2.9 ml/L water,Every 8 days,Thiamethoxam,Soil application,2.6 g/L water,Once every 11 days
orange,stem rot,early,vegetative,Tamil Nadu,0,32.2,69.2,1,6.82,18.6,Panchagavya,Foliar spray,3.7 ml/L water,Every 5 days,Ridomil Gold,Foliar spray,2.0 g/L water,Once every 11 days
cotton,powdery mildew,mid,vegetative,Tamil Nadu,1,28.0,51.0,2,6.51,42.3,Cow dung decoction,Soil drench,3.4 ml/L water,Every 7 days,Ridomil Gold,Broadcast spraying,1.5 g/L water,Once every 10 days
orange,downy mildew,early,flowering,Bihar,1,31.6,64.8,1,6.37,50.1,Cow urine solution,Foliar spray,4.7 ml/L water,Every 8 days,Ridomil Gold,Foliar spray,3.0 g/L water,Once every 10 days
mungbean,stem rot,early,flowering,Bihar,1,31.4,67.8,1,6.18,25.3,Beauveria bassiana,Seed treatment,2.6 ml/L water,Every 9 days,Fungicide M-45,Broadcast spraying,2.2 g/L water,Once every 17 days
tomato,leaf blight,advanced,vegetative,Karnataka,1,29.2,61.1,2,6.88,34.7,Cow urine solution,Drip irrigation,2.1 ml/L water,Every 10 days,Ridomil Gold,Soil application,2.7 g/L water,Once every 17 days
banana,powdery mildew,early,fruiting,Tamil Nadu,0,35.0,73.7,1,6.41,38.5,Beauveria bassiana,Seed treatment,2.3 ml/L water,Every 6 days,Bavistin,Broadcast spraying,2.1 g/L water,Once every 13 days
pigeonpeas,powdery mildew,early,vegetative,Punjab,1,22.7,57.5,0,6.63,46.7,Trichoderma viride,Foliar spray,2.1 ml/L water,Every 10 days,Bavistin,Soil application,1.5 g/L water,Once every 18 days
jute,root rot,mid,seedling,Karnataka,0,31.5,64.4,1,6.85,43.4,Neem oil spray,Seed treatment,2.2 ml/L water,Every 7 days,Chlorpyrifos,Broadcast spraying,2.0 g/L water,Once every 20 days
barley,leaf blight,early,fruiting,Karnataka,0,29.6,63.7,1,6.36,31.6,Fish amino acid,Seed treatment,2.4 ml/L water,Every 6 days,Bavistin,Foliar spray,2.1 g/L water,Once every 13 days
sugarcane,root rot,early,fruiting,Punjab,0,26.5,55.8,2,6.81,42.2,Fish amino acid,Seed treatment,3.2 ml/L water,Every 8 days,Tilt (propiconazole),Foliar spray,2.0 g/L water,Once every 15 days
mungbean,stem rot,early,vegetative,Punjab,1,30.6,58.3,2,6.14,48.8,Trichoderma viride,Drip irrigation,2.5 ml/L water,Every 5 days,Ridomil Gold,Soil application,2.3 g/L water,Once every 18 days
lentil,root rot,early,seedling,Punjab,1,33.8,55.7,4,6.41,40.1,Cow dung decoction,Soil drench,4.6 ml/L water,Every 8 days,Ridomil Gold,Foliar spray,2.5 g/L water,Once every 17 days
kidneybeans,stem rot,advanced,flowering,Karnataka,1,28.4,73.4,3,6.6,40.9,Cow urine solution,Seed treatment,4.3 ml/L water,Every 7 days,Confidor,Broadcast spraying,2.8 g/L water,Once every 14 days
potato,downy mildew,advanced,seedling,Tamil Nadu,0,31.0,71.6,6,6.61,52.9,Garlic-chilli extract,Soil drench,4.9 ml/L water,Every 7 days,Bavistin,Foliar spray,2.4 g/L water,Once every 18 days
barley,downy mildew,early,flowering,Tamil Nadu,1,27.4,64.0,1,6.66,58.4,Neem oil spray,Seed treatment,4.9 ml/L water,Every 5 days,Thiamethoxam,Soil application,1.2 g/L water,Once every 13 days
jute,root rot,mid,seedling,Tamil Nadu,1,27.2,78.3,1,6.43,55.8,Neem oil spray,Drip irrigation,3.5 ml/L water,Every 7 days,Fungicide M-45,Broadcast spraying,1.4 g/L water,Once every 14 days
lentil,leaf blight,early,fruiting,Karnataka,0,24.1,69.5,4,6.36,52.7,Trichoderma viride,Soil drench,3.9 ml/L water,Every 6 days,Carbendazim,Broadcast spraying,1.1 g/L water,Once every 19 days
rice,powdery mildew,early,vegetative,Bihar,1,25.8,70.6,3,6.65,26.1,Cow dung decoction,Soil drench,4.3 ml/L water,Every 9 days,Chlorpyrifos,Broadcast spraying,1.4 g/L water,Once every 20 days
kidneybeans,root rot,mid,seedling,Punjab,0,30.7,75.9,2,6.6,27.9,Garlic-chilli extract,Seed treatment,3.2 ml/L water,Every 5 days,Thiamethoxam,Foliar spray,2.3 g/L water,Once every 18 days
apple,leaf blight,mid,fruiting,Punjab,0,33.6,76.5,4,6.76,27.4,Cow urine solution,Seed treatment,2.7 ml/L water,Every 6 days,Ridomil Gold,Broadcast spraying,1.9 g/L water,Once every 14 days
tomato,stem rot,advanced,seedling,Tamil Nadu,1,32.0,77.6,3,6.42,43.7,Fish amino acid,Seed treatment,2.8 ml/L water,Every 9 days,Ridomil Gold,Broadcast spraying,2.3 g/L water,Once every 20 days
millet,stem rot,mid,flowering,Punjab,0,29.7,48.2,2,6.67,40.4,Beauveria bassiana,Soil drench,3.7 ml/L water,Every 5 days,Thiamethoxam,Soil application,2.5 g/L water,Once every 18 days
apple,leaf blight,mid,seedling,Tamil Nadu,0,29.8,67.2,3,6.97,41.9,Cow dung decoction,Soil drench,2.1 ml/L water,Every 10 days,Thiamethoxam,Foliar spray,1.8 g/L water,Once every 16 days
jute,root rot,mid,vegetative,Bihar,0,28.3,53.7,3,6.3,50.3,Trichoderma viride,Soil drench,2.2 ml/L water,Every 8 days,Ridomil Gold,Foliar spray,2.0 g/L water,Once every 15 days
potato,leaf blight,advanced,fruiting,Karnataka,0,29.8,84.9,3,6.64,34.4,Cow urine solution,Foliar spray,4.1 ml/L water,Every 7 days,Bavistin,Broadcast spraying,3.0 g/L water,Once every 19 days
papaya,leaf blight,mid,fruiting,Punjab,1,26.6,64.9,2,7.12,40.1,Beauveria bassiana,Drip irrigation,2.2 ml/L water,Every 7 days,Confidor,Foliar spray,2.1 g/L water,Once every 13 days
watermelon,root rot,mid,seedling,Tamil Nadu,1,23.8,51.1,2,6.62,54.0,Cow urine solution,Drip irrigation,3.9 ml/L water,Every 7 days,Bavistin,Broadcast spraying,2.1 g/L water,Once every 17 days
grapes,root rot,early,vegetative,Tamil Nadu,0,30.6,73.5,1,6.89,47.5,Neem oil spray,Foliar spray,3.4 ml/L water,Every 6 days,Thiamethoxam,Foliar spray,1.2 g/L water,Once every 11 days
muskmelon,powdery mildew,advanced,fruiting,Bihar,0,30.7,56.2,3,6.06,41.0,Fish amino acid,Seed treatment,4.3 ml/L water,Every 10 days,Carbendazim,Foliar spray,2.5 g/L water,Once every 12 days
jute,leaf blight,advanced,flowering,Maharashtra,1,28.6,88.9,3,7.05,43.2,Neem oil spray,Seed treatment,2.1 ml/L water,Every 9 days,Chlorpyrifos,Soil application,2.2 g/L water,Once every 18 days
wheat,downy mildew,advanced,flowering,Punjab,1,34.6,67.8,2,6.92,42.9,Fish amino acid,Seed treatment,3.3 ml/L water,Every 10 days,Tilt (propiconazole),Broadcast spraying,1.5 g/L water,Once every 13 days
papaya,leaf blight,early,vegetative,Bihar,0,27.4,82.7,2,6.84,37.1,Panchagavya,Soil drench,4.0 ml/L water,Every 7 days,Fungicide M-45,Broadcast spraying,1.3 g/L water,Once every 11 days
lentil,stem rot,mid,flowering,Punjab,1,33.2,51.3,3,6.65,49.2,Fish amino acid,Seed treatment,4.6 ml/L water,Every 9 days,Carbendazim,Broadcast spraying,2.4 g/L water,Once every 17 days
